codigo_arancelario,descriptor_codigo
00010100,1
00010100,3
00010100,4
00019900,1
00019900,3
00019900,4
00020000,1
00020000,3
00020000,4
00030000,1
00030000,3
00030000,4
00040100,1
00040100,3
00040100,4
00040200,1
00040200,3
00040200,4
00040300,1
00040300,3
00040300,4
00040400,1
00040400,3
00040400,4
00040500,1
00040500,3
00040500,4
00050000,1
00050000,3
00050000,4
00060000,1
00060000,3
00060000,4
00070000,1
00070000,3
00070000,4
00080101,1
00080101,3
00080101,4
00080199,1
00080199,3
00080199,4
00080200,1
00080200,3
00080200,4
00090100,1
00090100,3
00090100,4
00090200,1
00090200,3
00090200,4
00090300,1
00090300,3
00090300,4
00090400,1
00090400,3
00090400,4
00090401,1
00090401,3
00090401,4
00090402,1
00090402,3
00090402,4
00090403,1
00090403,3
00090403,4
00090501,1
00090501,3
00090501,4
00090502,1
00090502,3
00090502,4
00098900,1
00098900,3
00098900,4
00100101,1
00100101,3
00100101,4
00100199,1
00100199,3
00100199,4
00100201,1
00100201,3
00100201,4
00100299,1
00100299,3
00100299,4
00110000,1
00110000,3
00110000,4
00120100,1
00120100,3
00120100,4
00120101,10
00120101,12
00120101,18
00120101,2
00120101,35
00120101,49
00120101,50
00120101,6
00120101,7
00120101,8
00120101,9
00120199,1
00120199,3
00120199,4
00120200,1
00120200,3
00120200,4
00120300,1
00120300,3
00120300,4
00120400,1
00120400,3
00120400,4
00120500,1
00120500,3
00120500,4
00130100,1
00130100,3
00130100,4
00130200,1
00130200,3
00130200,4
00139900,1
00139900,3
00139900,4
00140000,1
00140000,3
00140000,4
00150000,1
00150000,3
00150000,4
00160000,1
00160000,3
00160000,4
00170000,1
00170000,3
00170000,4
00190100,1
00190100,3
00190100,4
00198900,1
00198900,3
00198900,4
00200000,1
00200000,3
00200000,4
00210100,1
00210100,3
00210100,4
00210200,1
00210200,3
00210200,4
00210300,1
00210300,3
00210300,4
00210400,1
00210400,3
00210400,4
00230000,1
00230000,3
00230000,4
00240101,1
00240101,3
00240101,4
00240199,1
00240199,3
00240199,4
00248900,1
00248900,3
00248900,4
00250000,1
00250000,3
00250000,4
00260000,1
00260000,3
00260000,4
00290000,1
00290000,3
00290000,4
00300100,1
00300100,3
00300100,4
00309900,1
00309900,3
00309900,4
00310000,1
00310000,3
00310000,4
00320000,1
00320000,3
00320000,4
00330100,10
00330100,12
00330100,18
00330100,2
00330100,35
00330100,49
00330100,50
00330100,6
00330100,7
00330100,8
