codigo,nombre,descripcion,simbolo,vigencia
1,PESO,PESO ARGENTINO,,S
4,BOLIVIANO,BOLIVIANO,,S
5,CRUZEIRO REAL,CRUZEIRO REAL,,S
6,DÓLAR CAN,DÓLAR,,S
13,DÓLAR USA,DÓLAR,USD$,S
23,GUARANI,GUARANI,,S
24,NUEVO SOL,NUEVO SOL,,S
26,PESO URUG,PESO,,S
30,MARCO AL,DEUTSHE MARK O MARCO ALEMAN,,S
36,DOLAR AUST,DOLAR,,S
37,CHELIN,SCHILLING O CHELIN,,S
40,FRANCO BEL,FRANCO,,S
48,RENMINBI,RENMINBI,,S
51,CORONA DIN,CORONA,,S
53,PESETA,PESETA,,S
57,MARCO FIN,MARKKA O MARCO,,S
58,FRANCO FR,FRANCO,,S
64,FLORIN,FLORIN,,S
71,LIRA,LIRA,,S
72,YEN,YEN,,S
82,FRANCO SZ,FRANCO,,S
96,CORONA NOR,CORONA,,S
97,DÓLAR NZ,DÓLAR,,S
102,LIBRA EST,LIBRA ESTERLINA,,S
113,CORONA SC,CORONA,,S
127,DÓLAR HK,DÓLAR,,S
128,RAND,RAND,,S
129,PESO COL,PESO,,S
130,SUCRE,SUCRE,,S
131,DRACMA,DRACMA,,S
132,PESO MEX,NUEVO PESO,,S
133,ESCUDO,ESCUDO,,S
134,BOLIVAR,BOLIVAR,,S
135,DINAR,DINAR,,S
136,DÓLAR SIN,DÓLAR,,S
137,RUPIA,RUPIA,,S
138,DÓLAR TAI,DÓLAR,,S
139,DIRHAM,DIRHAM,,S
142,EURO,EURO,,S
200,PESO CL,PESO CHILENO,$,S
301,WON,WON       (CHINA)+,,S
302,SCHILLING AUSTRIACO,SCHILLING AUSTRIACO,,S
303,MARKKA,MARKKA,,S
304,BALBOA,BALBOA,,S
305,PESO FILIPINO,PESO FILIPINO,,S
306,COLON,COLON,,S
307,QUETZAL,QUETZAL,,S
308,LEV,LEV,,S
309,BAHT,BAHT                  (THAILANDIA),,S
310,LEU,LEU,,S
311,LIRA TURCA,LIRA TURCA,,S
312,PESO CUBANO,PESO CUBANO,,S
313,RUPIA CINGALESA,RUPIA CINGALESA,,S
314,RINGGIT,RINGGIT,,S
315,PESO LAS BAHAMAS,PESO LAS BAHAMAS,,S
316,ZLOTY,ZLOTY               (POLONIA),,S
317,LIBRA  (EGIPTO),LIBRA  (EGIPTO),,S
318,FORINT,FORINT,,S
319,PUNT,PUNT,,S
320,RUPIA,RUPIA        (PAKISTAN),,S
321,ZIMBAWE,ZIMBAWE,,S
322,RIAL,RIAL,,S
323,FRANCO,FRANCO,,S
324,RYAL,RYAL,,S
325,LIBRA IRLANDA,LIBRA IRLANDA,,S
326,CORONA ISLANDIA,CORONA ISLANDIA,,S
327,CORONA CHECA,CORONA CHECA,,S
328,RUBLO,RUBLO,,S
329,DINAR YUGOESLAVO,DINAR YUGOESLAVO,,S
900,OTRAS NO ESPECIFICADAS,OTRAS NO ESPECIFICADAS,,S
901,ECU,ECU,,S
