codigo,nombre,vigencia
101,SENEGAL,S
102,GAMBIA,S
103,GUINEA-BISSAU,S
104,GUINEA,S
105,SIERRA LEONA,S
106,LIBERIA,S
107,COSTA DE MARFIL,S
108,GHANA,S
109,TOGO,S
111,NIGERIA,S
112,SUDAFRICA,S
113,BOTSWANA,S
114,LESOTHO,S
115,MALAWI,S
116,ZIMBABWE,S
117,ZAMBIA,S
118,COMORAS,S
119,MAURICIO,S
120,MADAGASCAR,S
121,MOZAMBIQUE,S
122,SWAZILANDIA,S
123,SUDAN,S
124,EGIPTO,S
125,LIBIA,S
126,TUNEZ,S
127,ARGELIA,S
128,MARRUECOS,S
129,CABO VERDE,S
130,CHAD,S
131,NIGER,S
132,ALTO VOLTA,S
133,MALI,S
134,MAURITANIA,S
135,TANZANIA,S
136,UGANDA,S
137,KENIA,S
138,SOMALIA,S
139,ETIOPIA,S
140,ANGOLA,S
141,BURUNDI,S
142,RWANDA,S
143,REP.DEM. CONGO,S
144,CONGO,S
145,GABON,S
146,S.TOM.PRINCIPE,S
147,GUINEA ECUATRL,S
148,REP.CENT.AFRIC.,S
149,CAMERUN,S
150,BENIN,S
151,TERR.BRIT.EN AF,S
152,TER.ESPAN.EN AF,S
153,TERR.FRAN.EN AF,S
154,BOPHUTHATSWANA,S
155,DJIBOUTI,S
156,SEYCHELLES,S
158,VIENDA,S
159,NAMIBIA,S
161,BURKINA FASO,S
162,CISKEY,S
163,ERITREA,S
164,ISLAS MARSHALL,S
165,SAHARAVI,S
166,TRANSKEI,S
201,VENEZUELA,S
202,COLOMBIA,S
203,TRINID.Y TOBAGO,S
204,BARBADOS,S
205,JAMAICA,S
206,REP.DOMINICANA,S
207,BAHAMAS,S
208,HAITI,S
209,CUBA,S
210,PANAMA,S
211,COSTA RICA,S
212,NICARAGUA,S
213,EL SALVADOR,S
214,HONDURAS,S
215,GUATEMALA,S
216,MEXICO,S
217,GUYANA,S
218,ECUADOR,S
219,PERU,S
220,BRASIL,S
221,BOLIVIA,S
222,PARAGUAY,S
223,URUGUAY,S
224,ARGENTINA,S
225,U.S.A.,S
226,CANADA,S
227,TERR.BRIT.EN AM,S
228,TERR.FRAN.EN AM,S
229,TER.HOLAN.EN AM,S
230,TERR.D/DINAMARC,S
231,DOMINICA,S
232,GRANADA,S
233,SANTA LUCIA(ISL,S
234,S.VTE.Y GRANAD.,S
235,SURINAM,S
236,BELICE,S
240,ANTIGUA Y BBUDA,S
241,SNT.KIT & NEVIS,S
242,ANGUILA,S
243,ARUBA,S
244,BERMUDAS,S
245,ISLAS VIRGENES,S
246,ISLAS CAYMAN,S
247,ANTILLAS NEERLA,S
248,TURCAS Y CAICOS,S
249,ISLAS VIRGENES,S
250,MARTINICA,S
251,PUERTO RICO,S
252,MONSERRAT,S
253,GROENLADIA,S
301,JORDANIA,S
302,ARABIA SAUDITA,S
303,KUWAIT,S
304,OMAN,S
305,CHIPRE,S
306,ISRAEL,S
307,IRAK,S
308,AFGHANISTAN,S
309,IRAN,S
310,SIRIA,S
311,LIBANO,S
312,QATAR,S
313,BAHREIN,S
314,SRI LANKA,S
315,CAMBODIA,S
316,LAOS,S
317,INDIA,S
318,BUTAN,S
319,THAILANDIA,S
320,NEPAL,S
321,BANGLADESH,S
322,YEMEN DEL NORTE,S
323,YEMEN DEL SUR,S
324,PAKISTAN,S
325,VIETNAM,S
326,MYANMAR (EX BIR,S
327,ISLAS MALDIVAS,S
328,INDONESIA,S
329,MALASIA,S
330,TAIWAN (FORMOSA,S
331,JAPON,S
332,SINGAPUR,S
333,COREA DEL SUR,S
334,COREA DEL NORTE,S
335,FILIPINAS,S
336,CHINA,S
337,MONGOLIA,S
338,HONG-KONG REGION ADM. ESPECIAL DE CHINA,S
341,EMIR.ARAB.UNID.,S
342,HONG KONG,S
343,TER.PORTUG.E/AS,S
344,BRUNEI,S
345,MACAO,S
346,REPUBLICA DE YE,S
401,FIJI,S
402,NAURU,S
403,ISLAS TONGA,S
404,SAMOA OCC.,S
405,NUEVA ZELANDIA,S
406,AUSTRALIA,S
407,TERR.BRIT.EN AU,S
408,TERR.FRAN.EN AU,S
409,T.NORTEAM.EN AU,S
412,PPUA.NVA.GUINEA,S
415,VANUATU,S
416,KIRIBATI,S
417,MICRONESIA,S
418,ISLAS SALOMON,S
419,TUVALU,S
420,BELAU,S
421,NIUE,S
422,POLINESIA FRAN.,S
423,NUEVA CALEDONIA,S
424,ISLAS MARINAS,S
425,GUAM,S
426,TIMOR ORIENTAL,S
427,ISLAS COOK,S
501,PORTUGAL,S
502,ALEMANIA R.F.,S
503,ALEMANIA R.D.(N,S
504,ITALIA,S
505,FRANCIA,S
506,IRLANDA,S
507,DINAMARCA,S
508,SUIZA,S
509,AUSTRIA,S
510,REINO UNIDO,S
511,SUECIA,S
512,FINLANDIA,S
