codigo,nombre,descripcion,vigencia
111,MONTREAL,MONTREAL,S
112,"COSTA DEL PACÍFICO, OTROS NO ESPECIFICADOS","COSTA DEL PACÍFICO, OTROS NO ESPECIFICADOS",S
113,HALIFAX,HALIFAX,S
114,VANCOUVER,VANCOUVER,S
115,SAINT JOHN,SAINT JOHN,S
116,TORONTO,TORONTO,S
117,OTROS PUERTOS DE CANADÁ NO IDENTIFICADOS,OTROS PUERTOS DE CANADÁ NO IDENTIFICADOS,S
118,BAYSIDE,BAYSIDE,S
120,PORT CARTIES,PORT CARTIES,S
121,"COSTA DEL ATLÁNTICO, OTROS NO ESPECIFICADOS COMPRENDIDOS ENTRE MAINE Y KEY WEST","COSTA DEL ATLÁNTICO, OTROS NO ESPECIFICADOS COMPRENDIDOS ENTRE MAINE Y KEY WEST",S
122,"PUERTOS DEL GOLFO DE MÉXICO, OTROS NO ESPECIFICADOS COMPRENDIDOS ENTRE KEY WEST Y BROWNSVILLE","PUERTOS DEL GOLFO DE MÉXICO, OTROS NO ESPECIFICADOS COMPRENDIDOS ENTRE KEY WEST Y BROWNSVILLE",S
123,"COSTA DEL PACÍFICO, OTROS NO ESPECIFICADOS","COSTA DEL PACÍFICO, OTROS NO ESPECIFICADOS",S
124,QUEBEC,QUEBEC,S
125,PRINCE RUPERT,PRINCE RUPERT,S
126,HAMILTON,HAMILTON,S
131,BOSTON,BOSTON,S
132,NEW HAVEN,NEW HAVEN,S
133,BRIDGEPORT,BRIDGEPORT,S
134,NEW YORK,NEW YORK,S
135,FILADELFIA,FILADELFIA,S
136,BALTIMORE,BALTIMORE,S
137,NORFOLK,NORFOLK,S
138,WILMINGTON,WILMINGTON,S
139,CHARLESTON,CHARLESTON,S
140,SAVANAH,SAVANAH,S
141,MIAMI,MIAMI,S
142,EVERGLADES,EVERGLADES,S
143,JACKSONVILLE,JACKSONVILLE,S
145,PALM BEACH,PALM BEACH,S
146,BATON ROUGE,BATON ROUGE,S
147,COLUMBRES,COLUMBRES,S
148,PITTSBURGH,PITTSBURGH,S
149,DULUTH,DULUTH,S
150,MILWAUKEE,MILWAUKEE,S
151,TAMPA,TAMPA,S
152,PENSACOLA,PENSACOLA,S
153,MOBILE,MOBILE,S
154,NEW ORLEANS,NEW ORLEANS,S
155,PORT ARTHUR,PORT ARTHUR,S
156,GALVESTON,GALVESTON,S
157,CORPUS CRISTI,CORPUS CRISTI,S
158,BROWNSVILLE,BROWNSVILLE,S
159,HOUSTON,HOUSTON,S
160,OAKLAND,OAKLAND,S
161,STOCKTON,STOCKTON,S
171,SEATTLE,SEATTLE,S
172,PORTLAND,PORTLAND,S
173,SAN FRANCISCO,SAN FRANCISCO,S
174,LOS ANGELES,LOS ANGELES,S
175,LONG BEACH,LONG BEACH,S
176,SAN DIEGO,SAN DIEGO,S
180,OTROS PUERTOS DE ESTADOS UNIDOS NO ESPECIFICADOS,OTROS PUERTOS DE ESTADOS UNIDOS NO ESPECIFICADOS,S
199,LOS VILOS,LOS VILOS,S
200,AMERICA LATINA,AMERICA LATINA,S
204,PATACHE,PATACHE,S
206,MICHILLA,MICHILLA,S
207,PUERTO ANGAMOS,PUERTO ANGAMOS,S
208,POSEIDON,POSEIDON,S
209,TRES PUENTES,TRES PUENTES,S
210,OTROS PUERTOS DE MÉXICO NO ESPECIFICADOS,OTROS PUERTOS DE MÉXICO NO ESPECIFICADOS,S
211,TAMPICO,TAMPICO,S
212,"COSTA DEL PACÍFICO, OTROS PUERTOS","COSTA DEL PACÍFICO, OTROS PUERTOS",S
213,VERACRUZ,VERACRUZ,S
214,COATZACOALCOS,COATZACOALCOS,S
215,GUAYMAS,GUAYMAS,S
216,MAZATLAN,MAZATLAN,S
217,MANZANILLO,MANZANILLO,S
218,ACAPULCO,ACAPULCO,S
219,"GOLFO DE MÉXICO, OTROS NO ESPECIFICADOS","GOLFO DE MÉXICO, OTROS NO ESPECIFICADOS",S
220,ALTAMIRA,ALTAMIRA,S
221,CRISTOBAL,CRISTOBAL,S
222,BALBOA,BALBOA,S
223,COLON,COLON,S
224,OTROS PUERTOS DE PANAMÁ NO ESPECIFICADOS,OTROS PUERTOS DE PANAMÁ NO ESPECIFICADOS,S
231,OTROS PUERTOS DE COLOMBIA NO ESPECIFICADOS,OTROS PUERTOS DE COLOMBIA NO ESPECIFICADOS,S
232,BUENAVENTURA,BUENAVENTURA,S
233,BARRANQUILLA,BARRANQUILLA,S
241,OTROS PUERTOS DE ECUADOR NO ESPECIFICADOS,OTROS PUERTOS DE ECUADOR NO ESPECIFICADOS,S
242,GUAYAQUIL,GUAYAQUIL,S
251,OTROS PUERTOS DE PERÚ NO ESPECIFICADOS,OTROS PUERTOS DE PERÚ NO ESPECIFICADOS,S
252,CALLAO,CALLAO,S
253,ILO,ILO,S
254,IQUITOS,IQUITOS,S
261,OTROS PUERTOS DE ARGENTINA NO ESPECIFICADOS,OTROS PUERTOS DE ARGENTINA NO ESPECIFICADOS,S
262,BUENOS AIRES,BUENOS AIRES,S
263,NECOCHEA,NECOCHEA,S
264,MENDOZA,MENDOZA,S
265,CÓRDOBA,CÓRDOBA,S
266,BAHIA BLANCA,BAHIA BLANCA,S
267,COMODORO RIVADAVIA,COMODORO RIVADAVIA,S
268,PUERTO MADRYN,PUERTO MADRYN,S
269,MAR DEL PLATA,MAR DEL PLATA,S
270,ROSARIO,ROSARIO,S
271,OTROS PUERTOS DE URUGUAY NO ESPECIFICADOS,OTROS PUERTOS DE URUGUAY NO ESPECIFICADOS,S
272,MONTEVIDEO,MONTEVIDEO,S
281,OTROS PUERTOS DE VENEZUELA NO ESPECIFICADOS,OTROS PUERTOS DE VENEZUELA NO ESPECIFICADOS,S
282,LA GUAIRA,LA GUAIRA,S
285,MARACAIBO,MARACAIBO,S
291,OTROS PUERTOS DE BRASIL NO ESPECIFICADOS,OTROS PUERTOS DE BRASIL NO ESPECIFICADOS,S
292,SANTOS,SANTOS,S
293,RIO DE JANEIRO,RIO DE JANEIRO,S
294,RIO GRANDE DEL SUR,RIO GRANDE DEL SUR,S
295,PARANAGUA,PARANAGUA,S
296,SAO PAULO,SAO PAULO,S
297,SALVADOR,SALVADOR,S
301,OTROS PUERTOS DE LAS ANTILLAS HOLANDESAS NO ESPECIFICADOS,OTROS PUERTOS DE LAS ANTILLAS HOLANDESAS NO ESPECIFICADOS,S
302,CURAZAO,CURAZAO,S
399,OTROS PUERTOS DE AMÉRICA NO ESPECIFICADOS,OTROS PUERTOS DE AMÉRICA NO ESPECIFICADOS,S
411,SHANGAI,SHANGAI,S
412,DAIREN,DAIREN,S
413,OTROS PUERTOS DE CHINA NO ESPECIFICADOS,OTROS PUERTOS DE CHINA NO ESPECIFICADOS,S
421,NANPO,NANPO,S
422,BUSAN CY (PUSAN),BUSAN CY (PUSAN),S
423,OTROS PUERTOS DE COREA NO ESPECIFICADOS,OTROS PUERTOS DE COREA NO ESPECIFICADOS,S
431,MANILA,MANILA,S
432,OTROS PUERTOS DE FILIPINAS NO ESPECIFICADOS,OTROS PUERTOS DE FILIPINAS NO ESPECIFICADOS,S
441,OTROS PUERTOS DE JAPON NO ESPECIFICADOS,OTROS PUERTOS DE JAPON NO ESPECIFICADOS,S
442,OSAKA,OSAKA,S
443,KOBE,KOBE,S
444,YOKOHAMA,YOKOHAMA,S
445,NAGOYA,NAGOYA,S
446,SHIMIZUI,SHIMIZUI,S
447,MOJI,MOJI,S
448,YAWATA,YAWATA,S
449,FUKUYAMA,FUKUYAMA,S
451,KAOHSIUNG,KAOHSIUNG,S
452,KEELUNG,KEELUNG,S
453,OTROS PUERTOS DE TAIWAN NO ESPECIFICADOS,OTROS PUERTOS DE TAIWAN NO ESPECIFICADOS,S
461,KARHG ISLAND,KARHG ISLAND,S
462,OTROS PUERTOS DE IRAN NO ESPECIFICADOS,OTROS PUERTOS DE IRAN NO ESPECIFICADOS,S
471,CALCUTA,CALCUTA,S
472,OTROS PUERTOS DE INDIA NO ESPECIFICADOS,OTROS PUERTOS DE INDIA NO ESPECIFICADOS,S
481,CHALNA,CHALNA,S
482,OTROS PUERTOS DE BANGLADESH NO ESPECIFICADOS,OTROS PUERTOS DE BANGLADESH NO ESPECIFICADOS,S
491,OTROS PUERTOS DE SINGAPUR NO ESPECIFICADOS,OTROS PUERTOS DE SINGAPUR NO ESPECIFICADOS,S
492,HONG KONG,HONG KONG,S
499,OTROS PUERTOS ASIÁTICOS NO ESPECIFICADOS,OTROS PUERTOS ASIÁTICOS NO ESPECIFICADOS,S
500,EUROPA,EUROPA,S
511,CONSTANZA,CONSTANZA,S
512,OTROS PUERTOS DE RUMANIA NO ESPECIFICADOS,OTROS PUERTOS DE RUMANIA NO ESPECIFICADOS,S
521,VARNA,VARNA,S
522,OTROS PUERTOS DE BULGARIA NO ESPECIFICADOS,OTROS PUERTOS DE BULGARIA NO ESPECIFICADOS,S
531,RIJEKA,RIJEKA,S
532,OTROS PUERTOS DE YUGOESLAVIA NO ESPECIFICADOS,OTROS PUERTOS DE YUGOESLAVIA NO ESPECIFICADOS,S
541,OTROS PUERTOS DE ITALIA NO ESPECIFICADOS,OTROS PUERTOS DE ITALIA NO ESPECIFICADOS,S
542,GENOVA,GENOVA,S
543,"LIORNA, LIVORNO","LIORNA, LIVORNO",S
544,NAPOLES,NAPOLES,S
545,SALERNO,SALERNO,S
546,AUGUSTA,AUGUSTA,S
547,SAVONA,SAVONA,S
551,OTROS PUERTOS DE FRANCIA NO ESPECIFICADOS,OTROS PUERTOS DE FRANCIA NO ESPECIFICADOS,S
552,LA PALLICE,LA PALLICE,S
553,LE HAVRE,LE HAVRE,S
554,MARSELLA,MARSELLA,S
555,BURDEOS,BURDEOS,S
556,CALAIS,CALAIS,S
557,BREST,BREST,S
558,RUAN,RUAN,S
561,OTROS PUERTOS DE ESPAÑA NO ESPECIFICADOS,OTROS PUERTOS DE ESPAÑA NO ESPECIFICADOS,S
562,CADIZ,CADIZ,S
563,BARCELONA,BARCELONA,S
564,BILBAO,BILBAO,S
565,HUELVA,HUELVA,S
566,SEVILLA,SEVILLA,S
567,TARRAGONA,TARRAGONA,S
571,LIVERPOOL,LIVERPOOL,S
572,LONDRES,LONDRES,S
573,ROCHESTER,ROCHESTER,S
574,ETEN SALVERRY,ETEN SALVERRY,S
576,OTROS PUERTOS DE INGLATERRA NO ESPECIFICADOS,OTROS PUERTOS DE INGLATERRA NO ESPECIFICADOS,S
577,DOVER,DOVER,S
578,PLYMOUTH,PLYMOUTH,S
581,HELSINSKI,HELSINSKI,S
582,OTROS PUERTOS DE FINLANDIA NO ESPECIFICADOS,OTROS PUERTOS DE FINLANDIA NO ESPECIFICADOS,S
583,HANKO,HANKO,S
584,KEMI,KEMI,S
585,KOKKOLA,KOKKOLA,S
586,KOTKA,KOTKA,S
587,OULO,OULO,S
588,PIETARSAARI,PIETARSAARI,S
589,PORI,PORI,S
590,ALEMANIA OCCIDENTAL,ALEMANIA OCCIDENTAL,S
591,BREMEN,BREMEN,S
592,HAMBURGO,HAMBURGO,S
593,NUREMBERG,NUREMBERG,S
594,FRANKFURT,FRANKFURT,S
595,DUSSELDORF,DUSSELDORF,S
