codigo,nombre,descripcion,vigencia
1,POLVO,"GRANEL SÓLIDO, PARTICULAS FINAS (POLVO)",S
2,GRANOS,"GRANEL SÓLIDO, PARTICULAS GRANULARES (GRANOS)",S
3,NÓDULOS,"GRANEL SÓLIDO, PARTICULAS GRANDES (NÓDULOS)",S
4,LÍQUIDO,GRANEL LÍQUIDO,S
5,GAS,GRANEL GASEOSO,S
10,PIEZA,PIEZAS,S
11,TUBO,TUBOS,S
12,CILINDRO,CILINDRO,S
13,ROLLO,ROLLOS,S
16,BARRA,BARRAS,S
17,LINGOTE,LINGOTES,S
18,TRONCO,TRONCOS,S
19,BLOQUE,BLOQUE,S
20,ROLLIZO,ROLLIZO,S
21,CAJON,CAJON,S
22,CAJA DE CARTÓN,CAJAS DE CARTÓN,S
23,FARDO,FARDO,S
24,BAÚL,BAÚL,S
25,COFRE,COFRE,S
26,ARMAZÓN,ARMAZÓN,S
27,BANDEJA,BANDEJA,S
28,CAJAMADERA,CAJAS DE MADERA,S
29,CAJALATA,CAJAS DE LATA,S
30,CAJANOMAD,CAJA NO DE MADERA,S
31,BOTELLAGAS,BOTELLA DE GAS,S
32,BOTELLA,BOTELLA,S
33,JAULA,JAULAS,S
34,BIDON,BIDON,S
35,JABA,JABAS,S
36,CESTA,CESTAS,S
37,BARRILETE,BARRILETE,S
38,TONEL,TONEL,S
39,PIPA,PIPAS,S
40,CAJANOESP,CAJANOESP,S
41,JARRO,JARRO,S
42,FRASCO,FRASCO,S
43,DAMAJUANA,DAMAJUANA,S
44,BARRIL,BARRIL,S
45,TAMBOR,TAMBOR,S
46,CUÑETE,CUÑETES,S
47,TARRO,TARROS,S
51,CUBO,CUBO,S
61,PAQUETE,PAQUETE,S
62,SACO,SACOS,S
63,MALETA,MALETA,S
64,BOLSA,BOLSA,S
65,BALA,BALA,S
66,RED,RED,S
67,SOBRE,SOBRES,S
73,CONT20,CONTENEDOR DE 20 PIES DRY,S
74,CONT40,CONTENEDOR DE 40 PIES DRY,S
75,REEFER20,CONTENEDOR REFRIGERADO 20 PIES,S
76,REEFER40,CONTENEDOR REFRIGERADO 40 PIES,S
77,ESTANQUE,ESTANQUE  (no utilizar para contenedor Tank),S
78,CONTNOESP,"CONTENEDOR NO ESPECIFICADO (Open Top, Tank, Flat Rack, otros)",S
80,PALLET,PALLETS,S
81,TABLERO,TABLERO,S
82,LAMINA,LAMINAS,S
83,CARRETE,CARRETE,S
85,AUTOMOTOR,AUTOMOTOR,S
86,ATAUD,ATAUD,S
88,MAQUINARIA,MAQUINARIA,S
89,PLANCHA,PLANCHAS,S
90,ATADO,ATADOS,S
91,BOBINA,BOBINA,S
92,OTRAS,OTRAS,S
93,BULTONOESP,OTROS BULTOS NO ESPECIFICADOS,S
95,IND. TIPO,IND. TIPO,S
98,SIN BULTO,NO EXISTE BULTO,S
99,S/EMBALAR,SIN EMBALAR,S
