codigo,nombre,descripcion,lista_de_valor_codigo,vigencia
1,AUTOMOVIL,AUTOMOVIL,01,S
2,BUS,BUS,01,S
3,CAMION,CAMION,01,S
4,CAMIONETA,CAMIONETA,01,S
5,CHASIS,CHASIS,01,S
6,CHASIS CABINA,CHASIS CABINA,01,S
7,FURGON,FURGON,01,S
8,JEEP,JEEP,01,S
9,STATION WAGON,STATION WAGON,01,S
10,TRACTO CAMION,TRACTO CAMION,01,S
11,MINIBUS,MINIBUS,01,S
12,SIMILAR ST.WAGON,SIMILAR ST.WAGON,01,S
13,POR SUS PROPIOS MEDIOS,POR SUS PROPIOS MEDIOS,01,S
0,SIMPLE,SIMPLE,02,S
1,DOBLE,DOBLE,02,S
1,CHISPA,CHISPA,05,S
2,COMPRESION,COMPRESION,05,S
3,OTROS,OTROS,05,S
1,2X2,2X2,06,S
2,4X2,4X2,06,S
3,4X4,4X4,06,S
1,GASOLINA,GASOLINA,07,S
2,DIESEL O SEMIDIESEL,DIESEL O SEMIDIESEL,07,S
3,GAS NATURAL COMPRIMIDO,GAS NATURAL COMPRIMIDO,07,S
4,GAS LICUADO DE PETRÓLEO,GAS LICUADO DE PETRÓLEO,07,S
5,ELÉCTRICO,ELÉCTRICO,07,S
6,GAS NATURAL COMPRIMIDO/ELÉCTRICO,GAS NATURAL COMPRIMIDO/ELÉCTRICO,07,S
7,GASOLINA/GAS NATURAL COMPRIMIDO,GASOLINA/GAS NATURAL COMPRIMIDO,07,S
8,GASOLINA/GAS LICUADO DE PETRÓLEO,GASOLINA/GAS LICUADO DE PETRÓLEO,07,S
9,OTROS,OTROS,07,S
1,ACADIAN,ACADIAN,04,S
2,ACURA,ACURA,04,S
3,ALFA ROMEO,ALFA ROMEO,04,S
4,AMERICAN MOTORS,AMERICAN MOTORS,04,S
5,APRILIA,APRILIA,04,S
6,ARO,ARO,04,S
7,ASIA MOTORS,ASIA MOTORS,04,S
8,AUDI,AUDI,04,S
9,AUSTIN,AUSTIN,04,S
10,BAJAJ,BAJAJ,04,S
12,BUELL,BUELL,04,S
13,BUICK,BUICK,04,S
